HATS-1 b,3.446459,589.55,14.594,1.03,303,5870,0.041,0.99,1.04
HATS-10 b,3.312846,167.17858,10.862,0.7,496,5880,0.117,1.1,1.1
HATS-11 b,3.619188,263.7989,18.03,0.315,967.34,6563,0.316,1.33,1.54
HATS-12 b,3.142702,759.6137,7.76,1.12,512.41,6357,-0.06,1.16,1.17
HATS-13 b,3.0440499,172.58169,13.585,0.377,476,5523,-0.321,0.96,0.89
HATS-14 b,2.7667641,340.39593,11.646,1.191,513,5346,-0.173,0.97,0.93
HATS-15 b,1.74748753,689.6911,12.386,1.97,689,5311,-0.204,0.87,0.92
HATS-16 b,2.686502,1039.3041,14.572,1.86,774,5738,0.173,0.97,1.24
HATS-17 b,16.254611,425.25654,8.709,3.5,339,5846,0.093,1.13,1.09
HATS-18 b,0.8378434,629.3034,14.986,1.02,645,5600,-0.032,1.04,1.02
HATS-2 b,1.354133,427.463,13.092,1.05,360,5227,-0.268,0.88,0.9
HATS-22 b,4.7228124,870.8542,10.682,3.89,207.9,4803,-0.646,0.76,0.69
HATS-23 b,2.1605156,467.2101,20.849,0.29,747,5780,0.155,1.12,1.2
HATS-24 b,1.3484954,775.5052,16.668,0.92,510,6346,0.292,1.21,1.17
HATS-25 b,4.2986432,194.82979,14.123,0.38,466,5715,0.068,0.99,1.11
HATS-26 b,3.3023881,206.5895,19.616,0.153,907,6071,0.704,1.3,2.04
HATS-27 b,4.637038,168.4499,16.814,0.18,840,6438,0.669,1.42,1.74
HATS-28 b,3.1810781,213.58176,13.384,0.48,521,5498,-0.157,0.93,0.92
HATS-29 b,4.6058749,207.54299,14.022,0.411,351,5670,0.029,1.03,1.07
HATS-3 b,3.547851,340.382,15.48,0.51,453,6351,0.456,1.21,1.4
HATS-30 b,3.1743516,224.38798,13.171,0.543,339,5943,0.097,1.09,1.06
HATS-31 b,3.37796,279.6904,18.383,0.243,872,6050,0.619,1.27,1.87
HATS-32 b,2.8126548,292.4036,14,0.58,839,5700,0.057,1.1,1.1
HATS-33 b,2.5495551,378.85336,13.787,0.79,255,5659,-0.018,1.06,1.02
HATS-34 b,2.1061607,299.07803,16.029,0.4,532,5380,-0.14,0.95,0.98
HATS-35 b,1.8209993,388.38826,16.41,0.484,557,6300,0.465,1.32,1.43
HATS-36 b,4.175186,1022.14128,12.92,2.12,878.65,5950,0.066,1.1,1.1
HATS-39 b,4.5776348,200.2329,17.598,0.202,773,6572,0.64,1.38,1.62
HATS-4 b,2.516729,420.471,11.433,1.55,420,5403,-0.187,1,0.93
HATS-40 b,3.2642736,505.3497,17.71,0.49,1431,6460,0.903,1.56,2.26
HATS-41 b,4.193649,3082.951,14.908,5.1,800,6424,0.653,1.5,1.71
HATS-42 b,2.292102,597.5204,15.693,0.83,942,6060,0.425,1.27,1.48
HATS-43 b,4.3888497,82.95363,13.227,0.191,341,5099,-0.398,0.84,0.81
HATS-44 b,2.7439004,177.9848,11.96,0.56,463,5080,-0.398,0.86,0.85
HATS-45 b,4.1876244,222.481,14.415,0.41,818,6450,0.425,1.27,1.31
HATS-46 b,4.7423729,54.98459,10.122,0.28,448,5495,-0.23,0.92,0.85
HATS-5 b,4.763387,75.323,10.223,0.39,257,5304,-0.268,0.94,0.87
HATS-50 b,3.8297015,123.9537,12.666,0.33,717,5990,0.143,1.17,1.12
HATS-51 b,3.3488702,244.09344,15.805,0.34,478,5758,0.31,1.19,1.44
HATS-52 b,1.36665436,711.9392,15.491,1.06,631,6010,0.068,1.11,1.05
HATS-53 b,3.8537768,189.10885,15.02,0.303,613,5644,0.045,0.96,1.1
HATS-59 b,5.416081,256.17098,12.621,0.7,654.88,5670,-0.004,1.04,1.04
HATS-59 c,1422,4036.441,12.3,11.9,654.88,5670,-0.004,1.04,1.04
HATS-6 b,3.3252725,101.38777,11.187,0.399,148.4,3724,-1.1,0.57,0.57
HATS-60 b,3.560829,210.40346,12.924,0.537,494.3,5688,0.3,1.1,1.46
HATS-61 b,7.817953,1080.622,13.395,2.47,694,5542,0.369,1.08,1.66
HATS-62 b,3.2768837,56.89157,11.825,0.076,516.8,5416,-0.173,0.9,0.93
HATS-63 b,3.0566527,305.1168,13.529,0.67,634.8,5627,0.012,0.93,1.07
HATS-64 b,4.908897,305.1168,18.82,0.245,1083,6554,0.867,1.56,2.11
HATS-65 b,3.105161,260.93843,16.825,0.3,495,6277,0.377,1.26,1.31
HATS-66 b,3.1414391,1694.0339,15.816,2.34,1538,6626,0.767,1.41,1.84
HATS-67 b,1.6091788,460.8535,18.887,0.374,982,6594,0.547,1.44,1.44
HATS-68 b,3.5862202,410.0007,13.809,0.856,618.2,6147,0.592,1.35,1.75
HATS-69 b,2.2252577,183.38791,10.593,0.46,420.3,5137,-0.318,0.89,0.88
HATS-7 b,3.185315,38.1396,6.311,0.83,257,4985,-0.434,0.85,0.81
HATS-70 b,1.8882378,4100.007,15.513,6.64,1307,7930,1.079,1.78,1.88
